user_id,timestamp,point
A,2025-11-01 08:15,P1
A,2025-11-01 09:30,P3
A,2025-11-01 10:45,P2
A,2025-11-01 13:20,P4
A,2025-11-01 15:45,P5
B,2025-11-01 08:30,P2
B,2025-11-01 09:45,P1
B,2025-11-01 11:15,P4
B,2025-11-01 14:00,P3
B,2025-11-01 16:30,P5
C,2025-11-01 08:00,P1
C,2025-11-01 09:20,P2
C,2025-11-01 11:00,P3
C,2025-11-01 13:45,P5
C,2025-11-01 15:30,P4
D,2025-11-01 08:45,P3
D,2025-11-01 10:00,P1
D,2025-11-01 11:30,P4
D,2025-11-01 14:15,P2
D,2025-11-01 16:00,P5
E,2025-11-01 09:00,P2
E,2025-11-01 10:15,P4
E,2025-11-01 11:45,P1
E,2025-11-01 14:30,P5
E,2025-11-01 16:15,P3
F,2025-11-01 09:15,P4
F,2025-11-01 10:30,P2
F,2025-11-01 12:00,P5
F,2025-11-01 14:45,P1
F,2025-11-01 16:45,P3
G,2025-11-01 08:20,P5
G,2025-11-01 09:40,P3
G,2025-11-01 11:10,P1
G,2025-11-01 13:50,P4
G,2025-11-01 15:20,P2
H,2025-11-01 08:40,P1
H,2025-11-01 10:10,P5
H,2025-11-01 11:40,P2
H,2025-11-01 14:20,P3
H,2025-11-01 16:10,P4
I,2025-11-01 09:10,P3
I,2025-11-01 10:40,P4
I,2025-11-01 12:15,P1
I,2025-11-01 14:50,P5
I,2025-11-01 16:40,P2
J,2025-11-01 08:10,P2
J,2025-11-01 09:35,P5
J,2025-11-01 11:20,P3
J,2025-11-01 13:40,P4
J,2025-11-01 15:50,P1
K,2025-11-01 08:25,P4
K,2025-11-01 09:50,P1
K,2025-11-01 11:25,P5
K,2025-11-01 13:55,P2
K,2025-11-01 15:40,P3
L,2025-11-01 08:50,P5
L,2025-11-01 10:05,P2
L,2025-11-01 11:35,P4
L,2025-11-01 14:10,P1
L,2025-11-01 16:05,P3
M,2025-11-01 09:05,P1
M,2025-11-01 10:20,P3
M,2025-11-01 11:50,P5
M,2025-11-01 14:25,P2
M,2025-11-01 16:20,P4
N,2025-11-01 08:05,P3
N,2025-11-01 09:25,P4
N,2025-11-01 11:05,P2
N,2025-11-01 13:35,P5
N,2025-11-01 15:35,P1
O,2025-11-01 08:35,P2
O,2025-11-01 09:55,P5
O,2025-11-01 11:55,P1
O,2025-11-01 14:35,P3
O,2025-11-01 16:25,P4
P,2025-11-01 08:55,P4
P,2025-11-01 10:25,P1
P,2025-11-01 12:05,P3
P,2025-11-01 14:40,P5
P,2025-11-01 16:35,P2
Q,2025-11-01 09:45,P5
Q,2025-11-01 11:00,P2
Q,2025-11-01 12:30,P4
Q,2025-11-01 15:00,P1
Q,2025-11-01 16:50,P3
R,2025-11-01 08:15,P1
R,2025-11-01 09:45,P3
R,2025-11-01 11:15,P5
R,2025-11-01 13:30,P2
R,2025-11-01 15:25,P4
S,2025-11-01 08:45,P3
S,2025-11-01 10:15,P4
S,2025-11-01 11:45,P1
S,2025-11-01 14:05,P5
S,2025-11-01 16:15,P2
T,2025-11-01 09:15,P2
T,2025-11-01 10:45,P5
T,2025-11-01 12:15,P3
T,2025-11-01 14:45,P1
T,2025-11-01 16:45,P4